index,TE_0,TE_1,TE_3,Val
0,5.0,7.222,5.0,47209.9777712102
1,5.0,7.222,7.222,43869.30396345547
2,5.0,7.222,9.444,41651.309840780974
3,5.0,7.222,11.667,40112.4853919709
4,5.0,7.222,13.889,38858.177791700095
5,5.0,7.222,16.111,38125.37385003811
6,5.0,7.222,18.333,37213.88742906753
7,5.0,7.222,20.556,36714.29839851397
8,5.0,7.222,22.778,36349.511850432136
9,5.0,7.222,25.0,36045.723911026296
10,5.0,9.444,5.0,36360.07755974503
11,5.0,9.444,7.222,33053.01029362963
12,5.0,9.444,9.444,31033.558235916877
13,5.0,9.444,11.667,29543.527344050653
14,5.0,9.444,13.889,28447.80316108773
15,5.0,9.444,16.111,27559.953315125123
16,5.0,9.444,18.333,26718.716975498486
17,5.0,9.444,20.556,26076.999056030687
18,5.0,9.444,22.778,25640.48466754715
19,5.0,9.444,25.0,25168.333443552445
20,5.0,11.667,5.0,30380.69098438073
21,5.0,11.667,7.222,27055.053391564066
22,5.0,11.667,9.444,24933.152972407057
23,5.0,11.667,11.667,23414.4437368811
24,5.0,11.667,13.889,22261.776087443675
25,5.0,11.667,16.111,21277.838355000335
26,5.0,11.667,18.333,20569.87034679707
27,5.0,11.667,20.556,19905.90935154406
28,5.0,11.667,22.778,19351.583110189993
29,5.0,11.667,25.0,18878.720806685764
30,5.0,13.889,5.0,26194.152020249316
31,5.0,13.889,7.222,22837.99383747075
32,5.0,13.889,9.444,20719.91727449958
33,5.0,13.889,11.667,19157.30804063274
34,5.0,13.889,13.889,17919.26556761756
35,5.0,13.889,16.111,16961.09341238867
36,5.0,13.889,18.333,16147.299372224257
37,5.0,13.889,20.556,15456.586102441552
38,5.0,13.889,22.778,14944.111686197211
39,5.0,13.889,25.0,14453.101337166892
40,5.0,16.111,5.0,23142.622104020586
41,5.0,16.111,7.222,19704.616043264497
42,5.0,16.111,9.444,17539.425749338414
43,5.0,16.111,11.667,15918.633093361319
44,5.0,16.111,13.889,14684.918799868967
45,5.0,16.111,16.111,13651.396567470267
46,5.0,16.111,18.333,12869.796976052812
47,5.0,16.111,20.556,12157.314995151493
48,5.0,16.111,22.778,11557.688431905806
49,5.0,16.111,25.0,11088.582981102016
50,5.0,18.333,5.0,20670.502663852658
51,5.0,18.333,7.222,17259.92302648125
52,5.0,18.333,9.444,15001.714446601343
53,5.0,18.333,11.667,13398.382973715648
54,5.0,18.333,13.889,12100.802015537482
55,5.0,18.333,16.111,11074.378662493487
56,5.0,18.333,18.333,10258.430159339301
57,5.0,18.333,20.556,9522.46550588378
58,5.0,18.333,22.778,8901.762990342135
59,5.0,18.333,25.0,8371.047012815314
60,5.0,20.556,5.0,18650.776451858575
61,5.0,20.556,7.222,15223.241827211268
62,5.0,20.556,9.444,12979.597699140253
63,5.0,20.556,11.667,11309.636989764429
64,5.0,20.556,13.889,9970.289673888721
65,5.0,20.556,16.111,8964.900277210501
66,5.0,20.556,18.333,8074.081496583913
67,5.0,20.556,20.556,7318.72922991274
68,5.0,20.556,22.778,6723.684778471101
69,5.0,20.556,25.0,6160.216113988323
70,5.0,22.778,5.0,16921.30034317124
71,5.0,22.778,7.222,13463.83290076684
72,5.0,22.778,9.444,11187.068596968744
73,5.0,22.778,11.667,9488.414354016124
74,5.0,22.778,13.889,8163.197727284945
75,5.0,22.778,16.111,7089.8171808802845
76,5.0,22.778,18.333,6182.932713268041
77,5.0,22.778,20.556,5450.922735436712
78,5.0,22.778,22.778,4792.19756775233
79,5.0,22.778,25.0,4213.4876903459135
80,5.0,25.0,5.0,15300.077380150766
81,5.0,25.0,7.222,11876.030088301442
82,5.0,25.0,9.444,9588.09200120837
83,5.0,25.0,11.667,7848.211115327027
84,5.0,25.0,13.889,6499.644576654058
85,5.0,25.0,16.111,5404.388744129372
86,5.0,25.0,18.333,4472.710386376473
87,5.0,25.0,20.556,3726.4729627086676
88,5.0,25.0,22.778,3053.202938125973
89,5.0,25.0,25.0,2502.1574644656203
90,7.222,7.222,5.0,45482.19133291606
91,7.222,7.222,7.222,42114.36909809601
92,7.222,7.222,9.444,39865.45870549992
93,7.222,7.222,11.667,38307.02755909221
94,7.222,7.222,13.889,37033.0309484275
95,7.222,7.222,16.111,36300.22700676552
96,7.222,7.222,18.333,35369.002801830924
97,7.222,7.222,20.556,34869.41377127735
98,7.222,7.222,22.778,34504.62722319552
99,7.222,7.222,25.0,34200.83928378968
100,7.222,9.444,5.0,33944.82771609035
101,7.222,9.444,7.222,30587.013788435404
102,7.222,9.444,9.444,28563.273549864458
103,7.222,9.444,11.667,27058.171222854482
104,7.222,9.444,13.889,25939.396241536644
105,7.222,9.444,16.111,25039.92003575121
106,7.222,9.444,18.333,24183.99903202086
107,7.222,9.444,20.556,23530.78689483986
108,7.222,9.444,22.778,23094.272506356323
109,7.222,9.444,25.0,22631.123245830295
110,7.222,11.667,5.0,27523.698269807395
111,7.222,11.667,7.222,24173.148394174335
112,7.222,11.667,9.444,22036.334121157208
113,7.222,11.667,11.667,20486.954125003253
114,7.222,11.667,13.889,19351.133906840332
115,7.222,11.667,16.111,18337.043630566986
116,7.222,11.667,18.333,17629.075622363715
117,7.222,11.667,20.556,16957.63857578319
118,7.222,11.667,22.778,16420.841518793946
119,7.222,11.667,25.0,15925.575295975916
120,7.222,13.889,5.0,23100.46328225831
121,7.222,13.889,7.222,19736.010986124744
122,7.222,13.889,9.444,17635.903744054103
123,7.222,13.889,11.667,16049.008752950196
124,7.222,13.889,13.889,14787.146833987947
125,7.222,13.889,16.111,13851.581694128203
126,7.222,13.889,18.333,13034.658057002358
127,7.222,13.889,20.556,12340.954081063572
128,7.222,13.889,22.778,11828.47966481923
129,7.222,13.889,25.0,11317.59569592929
130,7.222,16.111,5.0,19983.11567180632
131,7.222,16.111,7.222,16549.81147439729
132,7.222,16.111,9.444,14409.028201897647
133,7.222,16.111,11.667,12788.167944364752
134,7.222,16.111,13.889,11554.5959166537
135,7.222,16.111,16.111,10504.080075058502
136,7.222,16.111,18.333,9722.480483641048
137,7.222,16.111,20.556,9035.054332988333
138,7.222,16.111,22.778,8435.987757179682
139,7.222,16.111,25.0,7966.882306375894
140,7.222,18.333,5.0,17563.863375584817
141,7.222,18.333,7.222,14145.613776185579
142,7.222,18.333,9.444,11896.227502726872
143,7.222,18.333,11.667,10318.982959453348
144,7.222,18.333,13.889,9010.478736582621
145,7.222,18.333,16.111,7987.565069637609
146,7.222,18.333,18.333,7171.616566483422
147,7.222,18.333,20.556,6439.294128520292
148,7.222,18.333,22.778,5822.366398156222
149,7.222,18.333,25.0,5278.099687088243
150,7.222,20.556,5.0,15608.073316842612
151,7.222,20.556,7.222,12205.646782636099
152,7.222,20.556,9.444,9973.265143831988
153,7.222,20.556,11.667,8297.956189659046
154,7.222,20.556,13.889,6970.660611655505
155,7.222,20.556,16.111,5965.271214977287
156,7.222,20.556,18.333,5080.601461122527
157,7.222,20.556,20.556,4331.474527070578
158,7.222,20.556,22.778,3736.4300756289463
159,7.222,20.556,25.0,3198.6926170900742
160,7.222,22.778,5.0,13984.671211573772
161,7.222,22.778,7.222,10571.931258353463
162,7.222,22.778,9.444,8308.596468464406
163,7.222,22.778,11.667,6607.310563404942
164,7.222,22.778,13.889,5289.001068105339
165,7.222,22.778,16.111,4222.581262632488
166,7.222,22.778,18.333,3322.714360623827
167,7.222,22.778,20.556,2590.704382792512
168,7.222,22.778,22.778,1939.056801795041
169,7.222,22.778,25.0,1367.4877098990198
170,7.222,25.0,5.0,12525.062658628367
171,7.222,25.0,7.222,9148.888026679031
172,7.222,25.0,9.444,6877.878862133045
173,7.222,25.0,11.667,5170.881317359726
174,7.222,25.0,13.889,3838.8937226272983
175,7.222,25.0,16.111,2760.303448730137
176,7.222,25.0,18.333,1859.7028642103483
177,7.222,25.0,20.556,1113.4654405425429
178,7.222,25.0,22.778,456.8796401396919
179,7.222,25.0,25.0,318.4712200721349
180,9.444,7.222,5.0,44324.79130735262
181,9.444,7.222,7.222,40917.66740171732
182,9.444,7.222,9.444,38637.01852370751
183,9.444,7.222,11.667,37058.696884375175
184,9.444,7.222,13.889,35764.740191981226
185,9.444,7.222,16.111,35031.936250319224
186,9.444,7.222,18.333,34080.68686168842
187,9.444,7.222,20.556,33581.09783113485
188,9.444,7.222,22.778,33216.31128305302
189,9.444,7.222,25.0,32912.52334364718
190,9.444,9.444,5.0,32042.722748241806
191,9.444,9.444,7.222,28674.004093620566
192,9.444,9.444,9.444,26607.796319381225
193,9.444,9.444,11.667,25088.77969933266
194,9.444,9.444,13.889,23958.645724719503
195,9.444,9.444,16.111,23076.997645708616
196,9.444,9.444,18.333,22178.962047869198
197,9.444,9.444,20.556,21544.35951770873
198,9.444,9.444,22.778,21107.845129225196
199,9.444,9.444,25.0,20613.561861430713
200,9.444,11.667,5.0,25241.342077199
201,9.444,11.667,7.222,21877.217312814006
202,9.444,11.667,9.444,19700.345121552964
203,9.444,11.667,11.667,18174.99194955216
204,9.444,11.667,13.889,17009.969067581565
205,9.444,11.667,16.111,16020.814451017266
206,9.444,11.667,18.333,15312.846442814005
207,9.444,11.667,20.556,14637.337727553302
208,9.444,11.667,22.778,14071.750415111781
209,9.444,11.667,25.0,13572.690910249523
210,9.444,13.889,5.0,20748.358927754172
211,9.444,13.889,7.222,17394.36323451726
212,9.444,13.889,9.444,15271.475072702839
213,9.444,13.889,11.667,13719.746190526686
214,9.444,13.889,13.889,12462.185315459254
215,9.444,13.889,16.111,11503.141609477481
216,9.444,13.889,18.333,10688.789036799053
217,9.444,13.889,20.556,9997.829165829658
218,9.444,13.889,22.778,9485.35474958531
219,9.444,13.889,25.0,9007.986147961456
220,9.444,16.111,5.0,17731.586134348465
221,9.444,16.111,7.222,14302.514514139628
222,9.444,16.111,9.444,12149.613060493952
223,9.444,16.111,11.667,10568.466140195565
224,9.444,16.111,13.889,9341.612875667344
225,9.444,16.111,16.111,8304.946749716977
226,9.444,16.111,18.333,7523.347158299522
227,9.444,16.111,20.556,6818.472674566726
228,9.444,16.111,22.778,6226.711896002511
229,9.444,16.111,25.0,5757.606445198715
230,9.444,18.333,5.0,15556.184950702473
231,9.444,18.333,7.222,12206.95281349521
232,9.444,18.333,9.444,10010.306412305543
233,9.444,18.333,11.667,8427.923354679817
234,9.444,18.333,13.889,7175.637899514754
235,9.444,18.333,16.111,6170.534144895618
236,9.444,18.333,18.333,5354.585641741431
237,9.444,18.333,20.556,4640.132635670036
238,9.444,18.333,22.778,4041.1287820201483
239,9.444,18.333,25.0,3514.835230477433
240,9.444,20.556,5.0,14004.980527142347
241,9.444,20.556,7.222,10671.461157692836
242,9.444,20.556,9.444,8475.671565875096
243,9.444,20.556,11.667,6837.076000329117
244,9.444,20.556,13.889,5546.6382759455655
245,9.444,20.556,16.111,4541.248879267347
246,9.444,20.556,18.333,3675.069505014853
247,9.444,20.556,20.556,2944.4778264677934
248,9.444,20.556,22.778,2349.4333750261476
249,9.444,20.556,25.0,1810.845014075636
250,9.444,22.778,5.0,12767.893569929603
251,9.444,22.778,7.222,9426.570638045408
252,9.444,22.778,9.444,7202.363945072459
253,9.444,22.778,11.667,5540.402140668626
254,9.444,22.778,13.889,4241.814411617379
255,9.444,22.778,16.111,3195.1487422740015
256,9.444,22.778,18.333,2315.06271187119
257,9.444,22.778,20.556,1583.0527340398678
258,9.444,22.778,22.778,951.2070836426518
259,9.444,22.778,25.0,399.4552636328515
260,9.444,25.0,5.0,11716.044077816869
261,9.444,25.0,7.222,8375.02507429462
262,9.444,25.0,9.444,6133.933621310163
263,9.444,25.0,11.667,4449.430330557892
264,9.444,25.0,13.889,3128.603119127164
265,9.444,25.0,16.111,2061.1177974705893
266,9.444,25.0,18.333,1157.2392489629096
267,9.444,25.0,20.556,411.00182529511136
268,9.444,25.0,22.778,316.9446078537727
269,9.444,25.0,25.0,318.4712200721349
270,11.667,7.222,5.0,43400.880060680836
271,11.667,7.222,7.222,39961.12679291392
272,11.667,7.222,9.444,37647.55860033952
273,11.667,7.222,11.667,36048.80126856592
274,11.667,7.222,13.889,34734.472870214864
275,11.667,7.222,16.111,34001.66892855288
276,11.667,7.222,18.333,33030.13897864984
277,11.667,7.222,20.556,32530.54994809628
278,11.667,7.222,22.778,32165.763400014446
279,11.667,7.222,25.0,31861.975460608614
280,11.667,9.444,5.0,30372.749316318837
281,11.667,9.444,7.222,26942.02605364826
282,11.667,9.444,9.444,24892.300179054237
283,11.667,9.444,11.667,23362.323045872337
284,11.667,9.444,13.889,22222.537701611473
285,11.667,9.444,16.111,21302.30227371357
286,11.667,9.444,18.333,20423.737627835773
287,11.667,9.444,20.556,19750.597856818837
288,11.667,9.444,22.778,19314.083468335302
289,11.667,9.444,25.0,18810.80727594883
290,11.667,11.667,5.0,23252.94367746416
291,11.667,11.667,7.222,19892.857185453802
292,11.667,11.667,9.444,17756.00655604998
293,11.667,11.667,11.667,16198.664094809425
294,11.667,11.667,13.889,15034.858101681257
295,11.667,11.667,16.111,14015.225526492555
296,11.667,11.667,18.333,13307.257518289294
297,11.667,11.667,20.556,12671.943929280984
298,11.667,11.667,22.778,12108.431924741473
299,11.667,11.667,25.0,11611.697246687712
300,11.667,13.889,5.0,18895.226655499013
301,11.667,13.889,7.222,15604.780496974927
302,11.667,13.889,9.444,13514.731442353956
303,11.667,13.889,11.667,11965.191044363197
304,11.667,13.889,13.889,10742.052004118248
305,11.667,13.889,16.111,9829.554374976224
306,11.667,13.889,18.333,9032.515598136439
307,11.667,13.889,20.556,8359.030576750156
308,11.667,13.889,22.778,7846.556160505807
309,11.667,13.889,25.0,7356.2226391807435
310,11.667,16.111,5.0,16389.984579037635
311,11.667,16.111,7.222,13062.699466424237
312,11.667,16.111,9.444,10951.064426941251
313,11.667,16.111,11.667,9385.121119081497
314,11.667,16.111,13.889,8198.466162598734
315,11.667,16.111,16.111,7203.3678578675845
316,11.667,16.111,18.333,6421.768266450121
317,11.667,16.111,20.556,5737.749202295525
318,11.667,16.111,22.778,5166.885148616554
319,11.667,16.111,25.0,4697.779697812764
320,11.667,18.333,5.0,14657.43536156799
321,11.667,18.333,7.222,11360.710765934802
322,11.667,18.333,9.444,9214.525742685399
323,11.667,18.333,11.667,7644.855021105936
324,11.667,18.333,13.889,6397.615252653964
325,11.667,18.333,16.111,5405.408902237623
326,11.667,18.333,18.333,4589.460399083429
327,11.667,18.333,20.556,3887.8888297652675
328,11.667,18.333,22.778,3301.7505910363625
329,11.667,18.333,25.0,2788.307029080559
330,11.667,20.556,5.0,13406.16557569999
331,11.667,20.556,7.222,10107.137630904323
332,11.667,20.556,9.444,7936.973473377057
333,11.667,20.556,11.667,6323.867365845847
334,11.667,20.556,13.889,5058.762530651979
335,11.667,20.556,16.111,4053.373133973768
336,11.667,20.556,18.333,3199.795034511545
337,11.667,20.556,20.556,2481.7577341016954
338,11.667,20.556,22.778,1886.7132826600493
339,11.667,20.556,25.0,1360.6298131189162
340,11.667,22.778,5.0,12427.568423888593
341,11.667,22.778,7.222,9121.912880739861
342,11.667,22.778,9.444,6921.181120658796
343,11.667,22.778,11.667,5282.388678513528
344,11.667,22.778,13.889,3995.2718319261985
345,11.667,22.778,16.111,2960.00168556298
346,11.667,22.778,18.333,2091.2362515101368
347,11.667,22.778,20.556,1359.2262736788218
348,11.667,22.778,22.778,738.6267684343097
349,11.667,22.778,25.0,349.8399452130763
350,11.667,25.0,5.0,11611.965483426078
351,11.667,25.0,7.222,8302.163506086941
352,11.667,25.0,9.444,6074.795538005951
353,11.667,25.0,11.667,4410.9436811856895
354,11.667,25.0,13.889,3100.3464798705318
355,11.667,25.0,16.111,2043.0268762498567
356,11.667,25.0,18.333,1149.2494044983632
357,11.667,25.0,20.556,403.0119808305648
358,11.667,25.0,22.778,316.9446078537727
359,11.667,25.0,25.0,318.4712200721349
360,13.889,7.222,5.0,42593.38197859105
361,13.889,7.222,7.222,39120.785551877154
362,13.889,7.222,9.444,36773.99390942929
363,13.889,7.222,11.667,35154.39680445467
364,13.889,7.222,13.889,33819.177547994186
365,13.889,7.222,16.111,33086.3736063322
366,13.889,7.222,18.333,32093.93678237792
367,13.889,7.222,20.556,31594.34775182436
368,13.889,7.222,22.778,31229.561203742527
369,13.889,7.222,25.0,30925.77326433669
370,13.889,9.444,5.0,28833.865333601592
371,13.889,9.444,7.222,25379.87906724989
372,13.889,9.444,9.444,23322.924570756048
373,13.889,9.444,11.667,21742.911287462288
374,13.889,9.444,13.889,20597.136236899998
375,13.889,9.444,16.111,19715.030105129543
376,13.889,9.444,18.333,18787.785423455585
377,13.889,9.444,20.556,18109.707440587717
378,13.889,9.444,22.778,17673.19305210418
379,13.889,9.444,25.0,17209.326025694292
380,13.889,11.667,5.0,21607.57956588247
381,13.889,11.667,7.222,18244.02563005636
382,13.889,11.667,9.444,16151.462917833556
383,13.889,11.667,11.667,14625.437209329026
384,13.889,11.667,13.889,13477.699174318337
385,13.889,11.667,16.111,12491.003769718458
386,13.889,11.667,18.333,11783.03576151519
387,13.889,11.667,20.556,11126.34928871993
388,13.889,11.667,22.778,10615.478449879793
389,13.889,11.667,25.0,10135.88002325686
390,13.889,13.889,5.0,17852.570122545585
391,13.889,13.889,7.222,14585.782755495296
392,13.889,13.889,9.444,12524.018728720925
393,13.889,13.889,11.667,11002.882371103802
394,13.889,13.889,13.889,9808.226062880718
395,13.889,13.889,16.111,8880.910517243128
396,13.889,13.889,18.333,8098.4640501010335
397,13.889,13.889,20.556,7439.583540748734
398,13.889,13.889,22.778,6927.109124504393
399,13.889,13.889,25.0,6451.389761426356
400,13.889,16.111,5.0,15735.72517896845
401,13.889,16.111,7.222,12479.510991665864
402,13.889,16.111,9.444,10396.008516965154
403,13.889,16.111,11.667,8857.99526281798
404,13.889,16.111,13.889,7666.06383732946
405,13.889,16.111,16.111,6699.2231195942095
406,13.889,16.111,18.333,5917.623528176746
407,13.889,16.111,20.556,5247.638040257889
408,13.889,16.111,22.778,4690.740685057927
409,13.889,16.111,25.0,4221.635234254139
410,13.889,18.333,5.0,14368.51943506408
411,13.889,18.333,7.222,11122.059406428496
412,13.889,18.333,9.444,9001.306447429637
413,13.889,18.333,11.667,7443.994138839461
414,13.889,18.333,13.889,6221.182631795933
415,13.889,18.333,16.111,5241.046216358653
416,13.889,18.333,18.333,4425.097713204473
417,13.889,18.333,20.556,3735.5000921624473
418,13.889,18.333,22.778,3161.239987862213
419,13.889,18.333,25.0,2659.5789716757517
420,13.889,20.556,5.0,13390.090141348326
421,13.889,20.556,7.222,10133.533165068147
422,13.889,20.556,9.444,7984.049281228436
423,13.889,20.556,11.667,6391.253272087359
424,13.889,20.556,13.889,5146.089127082281
425,13.889,20.556,16.111,4140.699730404062
426,13.889,20.556,18.333,3296.9538598058243
427,13.889,20.556,20.556,2588.6570085554763
428,13.889,20.556,22.778,1993.6125571138446
429,13.889,20.556,25.0,1477.1780288595166
430,13.889,22.778,5.0,12626.903003465299
431,13.889,22.778,7.222,9355.762412845455
432,13.889,22.778,9.444,7171.78116449266
433,13.889,22.778,11.667,5549.4088818630025
434,13.889,22.778,13.889,4270.380138548278
435,13.889,22.778,16.111,3243.117835913425
436,13.889,22.778,18.333,2382.2808055437763
437,13.889,22.778,20.556,1650.2708277124616
438,13.889,22.778,22.778,1037.5211261836002
439,13.889,22.778,25.0,504.7135824538736
440,13.889,25.0,5.0,11985.234123289149
441,13.889,25.0,7.222,8711.192323136422
442,13.889,25.0,9.444,6497.740368785813
443,13.889,25.0,11.667,4847.540436024399
444,13.889,25.0,13.889,3543.670419951085
445,13.889,25.0,16.111,2493.012316536915
446,13.889,25.0,18.333,1605.8308040013499
447,13.889,25.0,20.556,859.5933803335661
448,13.889,25.0,22.778,316.9446078537727
449,13.889,25.0,25.0,318.4712200721349
450,16.111,7.222,5.0,41849.97027436166
451,16.111,7.222,7.222,38370.365570946444
452,16.111,7.222,9.444,35993.1059734667
